file_index,flips_requested,raw_bit_diff,flips_actual
82,20,145,20
82,25,128,25
82,30,122,30
82,35,120,35
82,40,131,40
82,45,110,45
82,50,131,50
83,1,120,1
83,5,127,5
83,10,109,10
83,15,131,15
83,20,126,20
83,25,116,25
83,30,117,30
83,35,125,35
83,40,125,40
83,45,125,45
83,50,134,50
84,1,128,1
84,5,133,5
84,10,121,10
84,15,140,15
84,20,129,20
84,25,129,25
84,30,137,30
84,35,122,35
84,40,134,40
84,45,125,45
84,50,126,50
85,1,132,1
85,5,131,5
85,10,135,10
85,15,129,15
85,20,112,20
85,25,116,25
85,30,135,30
85,35,133,35
85,40,138,40
85,45,120,45
85,50,123,50
86,1,125,1
86,5,130,5
86,10,141,10
86,15,121,15
86,20,115,20
86,25,142,25
86,30,135,30
86,35,117,35
86,40,137,40
86,45,125,45
86,50,121,50
87,1,111,1
87,5,124,5
87,10,128,10
87,15,117,15
87,20,122,20
87,25,130,25
87,30,124,30
87,35,130,35
87,40,121,40
87,45,121,45
87,50,135,50
88,1,122,1
88,5,129,5
88,10,125,10
88,15,132,15
88,20,134,20
88,25,145,25
88,30,114,30
88,35,135,35
88,40,143,40
88,45,137,45
88,50,127,50
89,1,124,1
89,5,115,5
89,10,121,10
89,15,119,15
89,20,130,20
89,25,127,25
89,30,130,30
89,35,118,35
89,40,134,40
89,45,128,45
89,50,126,50
90,1,125,1
90,5,112,5
90,10,132,10
90,15,128,15
90,20,139,20
90,25,124,25
90,30,122,30
90,35,123,35
90,40,129,40
90,45,122,45
90,50,120,50
91,1,139,1
91,5,113,5
91,10,136,10
91,15,123,15
91,20,143,20
91,25,120,25
91,30,123,30
91,35,126,35
91,40,123,40
91,45,130,45
91,50,143,50
92,1,126,1
92,5,111,5
92,10,131,10
92,15,113,15
92,20,136,20
92,25,126,25
92,30,125,30
92,35,123,35
92,40,126,40
92,45,123,45
92,50,119,50
93,1,140,1
93,5,133,5
93,10,119,10
93,15,129,15
93,20,128,20
93,25,130,25
93,30,125,30
93,35,124,35
93,40,124,40
93,45,136,45
93,50,143,50
94,1,124,1
94,5,137,5
94,10,137,10
94,15,139,15
94,20,132,20
94,25,123,25
94,30,137,30
94,35,130,35
94,40,123,40
94,45,128,45
94,50,136,50
95,1,131,1
95,5,125,5
95,10,128,10
95,15,134,15
95,20,139,20
95,25,138,25
95,30,116,30
95,35,125,35
95,40,122,40
95,45,125,45
95,50,133,50
96,1,127,1
96,5,132,5
96,10,130,10
96,15,128,15
96,20,123,20
96,25,127,25
96,30,126,30
96,35,124,35
96,40,132,40
96,45,145,45
96,50,135,50
97,1,125,1
97,5,133,5
97,10,132,10
97,15,119,15
97,20,134,20
97,25,132,25
97,30,128,30
97,35,137,35
97,40,122,40
97,45,128,45
97,50,117,50
98,1,133,1
98,5,125,5
98,10,129,10
98,15,125,15
98,20,122,20
98,25,125,25
98,30,138,30
98,35,121,35
98,40,121,40
98,45,114,45
98,50,116,50
99,1,118,1
99,5,140,5
99,10,120,10
99,15,114,15
99,20,125,20
99,25,126,25
99,30,135,30
99,35,126,35
99,40,141,40
99,45,125,45
99,50,137,50
100,1,131,1
100,5,130,5
100,10,130,10
100,15,148,15
100,20,125,20
100,25,122,25
100,30,119,30
100,35,135,35
100,40,140,40
100,45,117,45
100,50,131,50
101,1,119,1
101,5,131,5
101,10,136,10
101,15,127,15
101,20,127,20
101,25,126,25
101,30,116,30
101,35,123,35
101,40,140,40
101,45,114,45
101,50,130,50
102,1,142,1
102,5,117,5
102,10,128,10
102,15,143,15
102,20,115,20
102,25,127,25
102,30,124,30
102,35,138,35
102,40,138,40
102,45,119,45
102,50,125,50
103,1,123,1
103,5,125,5
103,10,124,10
103,15,139,15
103,20,127,20
103,25,130,25
103,30,121,30
103,35,132,35
103,40,106,40
103,45,125,45
103,50,127,50
104,1,129,1
104,5,137,5
104,10,121,10
104,15,121,15
104,20,124,20
104,25,128,25
104,30,134,30
104,35,114,35
104,40,122,40
104,45,118,45
104,50,138,50
105,1,133,1
105,5,132,5
105,10,124,10
105,15,137,15
105,20,124,20
105,25,115,25
105,30,126,30
105,35,128,35
105,40,130,40
105,45,123,45
105,50,140,50
106,1,130,1
106,5,137,5
106,10,116,10
106,15,131,15
106,20,113,20
106,25,133,25
106,30,131,30
106,35,133,35
106,40,132,40
106,45,134,45
106,50,115,50
107,1,131,1
107,5,147,5
107,10,120,10
107,15,121,15
107,20,128,20
107,25,126,25
107,30,122,30
107,35,134,35
107,40,139,40
107,45,126,45
107,50,124,50
108,1,131,1
108,5,139,5
108,10,120,10
108,15,133,15
108,20,123,20
108,25,132,25
108,30,133,30
108,35,120,35
108,40,125,40
108,45,129,45
108,50,126,50
109,1,141,1
109,5,111,5
109,10,137,10
109,15,125,15
109,20,122,20
109,25,132,25
109,30,119,30
109,35,129,35
109,40,136,40
109,45,145,45
109,50,136,50
110,1,133,1
110,5,133,5
110,10,135,10
110,15,130,15
110,20,124,20
110,25,136,25
110,30,126,30
110,35,133,35
110,40,134,40
110,45,127,45
110,50,130,50
111,1,122,1
111,5,121,5
111,10,119,10
111,15,135,15
111,20,107,20
111,25,122,25
111,30,131,30
111,35,137,35
111,40,123,40
111,45,139,45
111,50,120,50
112,1,138,1
112,5,146,5
112,10,116,10
112,15,132,15
112,20,108,20
112,25,113,25
112,30,127,30
112,35,119,35
112,40,131,40
112,45,125,45
112,50,129,50
113,1,128,1
113,5,125,5
113,10,124,10
113,15,122,15
113,20,131,20
113,25,131,25
113,30,134,30
113,35,114,35
113,40,142,40
113,45,124,45
113,50,134,50
114,1,130,1
114,5,128,5
114,10,122,10
114,15,118,15
114,20,124,20
114,25,133,25
114,30,127,30
114,35,123,35
114,40,127,40
114,45,120,45
114,50,140,50
115,1,121,1
115,5,152,5
115,10,137,10
115,15,133,15
115,20,115,20
115,25,131,25
115,30,129,30
115,35,116,35
115,40,141,40
115,45,121,45
115,50,123,50
116,1,130,1
116,5,134,5
116,10,136,10
116,15,137,15
116,20,127,20
116,25,139,25
116,30,140,30
116,35,135,35
116,40,121,40
116,45,131,45
116,50,134,50
117,1,117,1
117,5,124,5
117,10,139,10
117,15,126,15
117,20,130,20
117,25,127,25
117,30,119,30
117,35,118,35
117,40,134,40
117,45,138,45
117,50,128,50
118,1,124,1
118,5,123,5
118,10,132,10
118,15,123,15
118,20,130,20
118,25,117,25
118,30,115,30
118,35,135,35
118,40,125,40
118,45,134,45
118,50,136,50
119,1,130,1
119,5,143,5
119,10,132,10
119,15,134,15
119,20,122,20
119,25,132,25
119,30,120,30
119,35,140,35
119,40,132,40
119,45,130,45
119,50,145,50
120,1,128,1
120,5,124,5
120,10,123,10
120,15,140,15
120,20,132,20
120,25,120,25
120,30,121,30
120,35,130,35
120,40,131,40
120,45,119,45
120,50,127,50
121,1,127,1
121,5,136,5
121,10,116,10
121,15,123,15
121,20,130,20
121,25,133,25
121,30,130,30
121,35,123,35
121,40,114,40
121,45,113,45
121,50,134,50
122,1,120,1
122,5,125,5
122,10,138,10
122,15,128,15
122,20,128,20
122,25,120,25
122,30,112,30
122,35,144,35
122,40,120,40
122,45,128,45
122,50,124,50
123,1,135,1
123,5,132,5
123,10,126,10
123,15,136,15
123,20,119,20
123,25,132,25
123,30,134,30
123,35,120,35
123,40,120,40
123,45,119,45
123,50,116,50
124,1,137,1
124,5,124,5
124,10,133,10
124,15,134,15
124,20,125,20
124,25,128,25
124,30,132,30
124,35,118,35
124,40,139,40
124,45,123,45
124,50,121,50
125,1,124,1
125,5,127,5
125,10,144,10
125,15,135,15
125,20,127,20
125,25,118,25
125,30,128,30
125,35,131,35
125,40,126,40
125,45,123,45
125,50,134,50
126,1,140,1
126,5,128,5
126,10,133,10
126,15,133,15
126,20,110,20
126,25,120,25
126,30,126,30
126,35,125,35
126,40,112,40
126,45,123,45
126,50,132,50
127,1,132,1
127,5,135,5
127,10,135,10
127,15,138,15
127,20,126,20
127,25,132,25
127,30,132,30
127,35,126,35
127,40,122,40
127,45,135,45
127,50,118,50
128,1,124,1
128,5,130,5
128,10,128,10
128,15,118,15
128,20,123,20
128,25,122,25
128,30,129,30
128,35,126,35
128,40,119,40
128,45,119,45
128,50,127,50
129,1,115,1
129,5,124,5
129,10,144,10
129,15,127,15
129,20,121,20
129,25,134,25
129,30,130,30
129,35,136,35
129,40,129,40
129,45,116,45
129,50,137,50
130,1,133,1
130,5,129,5
130,10,133,10
130,15,135,15
130,20,119,20
130,25,127,25
130,30,131,30
130,35,134,35
130,40,141,40
130,45,138,45
130,50,117,50
131,1,132,1
131,5,122,5
131,10,145,10
131,15,123,15
131,20,124,20
131,25,121,25
131,30,118,30
131,35,122,35
131,40,131,40
131,45,118,45
131,50,124,50
132,1,127,1
132,5,134,5
132,10,126,10
132,15,125,15
132,20,126,20
132,25,118,25
132,30,122,30
132,35,129,35
132,40,137,40
132,45,128,45
132,50,136,50
133,1,122,1
133,5,112,5
133,10,114,10
133,15,132,15
133,20,126,20
133,25,125,25
133,30,135,30
133,35,133,35
133,40,130,40
133,45,125,45
133,50,132,50
134,1,128,1
134,5,117,5
134,10,140,10
134,15,110,15
134,20,127,20
134,25,123,25
134,30,127,30
134,35,137,35
134,40,127,40
134,45,104,45
134,50,134,50
135,1,127,1
135,5,138,5
135,10,119,10
135,15,112,15
135,20,124,20
135,25,135,25
135,30,123,30
135,35,124,35
135,40,144,40
135,45,144,45
135,50,123,50
136,1,127,1
136,5,120,5
136,10,117,10
136,15,139,15
136,20,130,20
136,25,135,25
136,30,124,30
136,35,119,35
136,40,126,40
136,45,142,45
136,50,118,50
137,1,143,1
137,5,117,5
137,10,129,10
137,15,126,15
137,20,140,20
137,25,130,25
137,30,125,30
137,35,137,35
137,40,130,40
137,45,136,45
137,50,130,50
138,1,111,1
138,5,124,5
138,10,136,10
138,15,114,15
138,20,117,20
138,25,122,25
138,30,134,30
138,35,127,35
138,40,129,40
138,45,118,45
138,50,137,50
139,1,115,1
139,5,140,5
139,10,126,10
139,15,137,15
139,20,117,20
139,25,126,25
139,30,112,30
139,35,117,35
139,40,143,40
139,45,123,45
139,50,126,50
140,1,109,1
140,5,129,5
140,10,121,10
140,15,132,15
140,20,144,20
140,25,127,25
140,30,130,30
140,35,136,35
140,40,111,40
140,45,130,45
140,50,128,50
141,1,123,1
141,5,132,5
141,10,141,10
141,15,135,15
141,20,130,20
141,25,125,25
141,30,135,30
141,35,123,35
141,40,132,40
141,45,145,45
141,50,130,50
142,1,130,1
142,5,143,5
142,10,114,10
142,15,124,15
142,20,126,20
142,25,127,25
142,30,127,30
142,35,120,35
142,40,116,40
142,45,138,45
142,50,122,50
143,1,116,1
143,5,129,5
143,10,136,10
143,15,130,15
143,20,126,20
143,25,130,25
143,30,134,30
143,35,122,35
143,40,128,40
143,45,128,45
143,50,119,50
144,1,121,1
144,5,140,5
144,10,124,10
144,15,132,15
144,20,103,20
144,25,123,25
144,30,139,30
144,35,130,35
144,40,126,40
144,45,127,45
144,50,143,50
145,1,126,1
145,5,122,5
145,10,139,10
145,15,123,15
145,20,132,20
145,25,126,25
145,30,131,30
145,35,139,35
145,40,138,40
145,45,127,45
145,50,135,50
146,1,126,1
146,5,110,5
146,10,137,10
146,15,137,15
146,20,121,20
146,25,149,25
146,30,122,30
146,35,118,35
146,40,134,40
146,45,129,45
146,50,128,50
147,1,126,1
147,5,112,5
147,10,130,10
147,15,126,15
147,20,118,20
147,25,121,25
147,30,133,30
147,35,113,35
147,40,115,40
147,45,119,45
147,50,139,50
148,1,131,1
148,5,130,5
148,10,136,10
148,15,140,15
148,20,124,20
148,25,130,25
148,30,119,30
148,35,130,35
148,40,127,40
148,45,125,45
148,50,144,50
149,1,126,1
149,5,117,5
149,10,134,10
149,15,119,15
149,20,123,20
149,25,119,25
149,30,121,30
149,35,119,35
149,40,121,40
149,45,125,45
149,50,111,50
150,1,126,1
150,5,126,5
150,10,129,10
150,15,131,15
150,20,112,20
150,25,120,25
150,30,135,30
150,35,136,35
150,40,133,40
150,45,133,45
150,50,122,50
151,1,132,1
151,5,124,5
151,10,128,10
151,15,131,15
151,20,140,20
151,25,128,25
151,30,138,30
151,35,136,35
151,40,140,40
151,45,117,45
151,50,108,50
152,1,122,1
152,5,126,5
152,10,141,10
152,15,125,15
152,20,120,20
152,25,118,25
152,30,128,30
152,35,125,35
152,40,142,40
152,45,147,45
152,50,128,50
153,1,135,1
153,5,126,5
153,10,120,10
153,15,124,15
153,20,123,20
153,25,138,25
153,30,127,30
153,35,127,35
153,40,117,40
153,45,129,45
153,50,130,50
154,1,110,1
154,5,117,5
154,10,127,10
154,15,133,15
154,20,132,20
154,25,133,25
154,30,130,30
154,35,123,35
154,40,131,40
154,45,133,45
154,50,129,50
155,1,130,1
155,5,136,5
155,10,134,10
155,15,122,15
155,20,139,20
155,25,136,25
155,30,139,30
155,35,129,35
155,40,135,40
155,45,121,45
155,50,124,50
156,1,118,1
156,5,139,5
156,10,110,10
156,15,123,15
156,20,125,20
156,25,136,25
156,30,119,30
156,35,126,35
156,40,125,40
156,45,132,45
156,50,128,50
157,1,131,1
157,5,135,5
157,10,134,10
157,15,112,15
157,20,115,20
157,25,143,25
157,30,121,30
157,35,134,35
157,40,139,40
157,45,121,45
157,50,126,50
158,1,120,1
158,5,130,5
158,10,125,10
158,15,132,15
158,20,137,20
158,25,118,25
158,30,137,30
158,35,130,35
158,40,128,40
158,45,134,45
158,50,133,50
159,1,124,1
159,5,128,5
